Configuration,Rule Source,Sarif Identifier,Alerts
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/spring-boot-exposed-actuators-config,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/spring-disabled-csrf-protection,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/sql-injection,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/ssrf,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/stack-trace-exposure,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/static-initialization-vector,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/summary/lines-of-code,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/summary/lines-of-code-java,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/summary/lines-of-code-kotlin,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/tainted-format-string,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/tainted-numeric-cast,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/tainted-permissions-check,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/telemetry/external-libs,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/telemetry/extraction-information,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/telemetry/supported-external-api,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/telemetry/supported-external-api-sinks,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/telemetry/supported-external-api-sources,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/telemetry/supported-external-api-taint,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/telemetry/unsupported-external-api,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/unsafe-deserialization,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/unsafe-hostname-verification,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/unvalidated-url-forward,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/unvalidated-url-redirection,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/weak-cryptographic-algorithm,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/world-writable-file-read,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/xml/xpath-injection,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/xslt-injection,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/xss,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/xxe,0
/language:java-kotlin,codeql/java-queries (1.11.3+b551e89ea8e011c0e3301fd0ce05589c9f2d3681),java/zipslip,0
